ID,LIMIT_BAL,SEX,AGE,EDUCATION2,EDUCATION3,EDUCATION4,EDUCATION5,MARRIAGE2,MARRIAGE3,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
11338,-0.3668060213103317,0,0.2846594217054845,0,0,0,0,1,0,0,0,0,0,0,0,0.01721541600458762,-0.13166045356427702,-0.39001382552913433,-0.5344252367717425,-0.4359743348205961,-0.594707662025928,-0.2416108074198029,-0.16852355739590416,-0.21949027848464908,0.5727171904952545,-0.056996312638463886,-0.13643213062186701,0
5156,-0.6741364117571912,0,-0.9118455988372487,1,0,0,0,1,0,0,0,0,0,2,0,-0.6942967590599343,-0.6892766647794218,-0.6718899697141542,-0.6607587380618672,-0.6629327443102225,-0.6535946532742963,-0.31208743436543207,-0.22456316824619368,-0.2440025271651336,-0.3021348193961211,-0.2800454829928283,-0.2787270573719562,0
4811,1.0161807357005364,1,-0.4767528640944366,0,0,0,0,1,0,0,0,0,0,0,0,0.1334036359354618,-0.21406560058774102,-0.6047044371395885,-0.5166994340520259,-0.46247920967101885,-0.5425443220647619,-0.03791253966555825,-0.03955296363052147,0.2933993439060604,0.01031232699365591,0.004790161143908518,0.27714865241192876,0
19155,0.47835255241853214,1,0.17588623801978148,1,0,0,0,0,0,0,0,0,0,0,0,0.03221585592715383,0.05114799964119753,-0.04642224905864884,-0.3219189893384588,-0.188195429300669,-0.3159217077724362,-0.21794017659755782,-0.16494656095865162,-0.21394584128311092,1.5112459288208666,-0.26910927713334837,-0.27201721529756173,0
2535,-0.9046342045923359,0,-1.0206187825229518,1,0,0,0,1,0,0,0,0,0,0,0,-0.678651286496599,-0.6841627442608135,-0.6610652329942993,-0.6537184810240275,-0.6594321004620535,-0.6408925412707656,-0.2906768135211903,-0.19475486460242267,-0.21773940357890018,-0.2552677474376545,-0.23370562765604896,-0.21278550595118317,0
13735,-0.827801606980621,1,1.1548448911911087,1,0,0,0,0,0,0,0,0,0,0,0,-0.42035002411542916,-0.3908936078533986,-0.3543932252296654,-0.32672200913982946,-0.2997992891268202,-0.27742584032706924,-0.21633438003423971,-0.16057467642423187,-0.24867152691379732,-0.23964539011816569,-0.1805692602032087,-0.3012860091737996,0
24672,1.7076741142059704,0,-0.15043331303732757,1,0,0,0,0,0,0,0,0,0,0,0,-0.7092834748837606,-0.7062946558385685,-0.6939868656049512,-0.6971646894553187,-0.6944885481415749,-0.684909593400334,-0.33528227361336066,-0.24006348614095463,-0.30703402377209377,-0.3021348193961211,-0.30414220776795353,-0.3012860091737996,0
6365,-1.0582993998157657,1,2.568896279105248,0,1,0,0,0,0,0,0,0,0,0,0,-0.31304129606918474,-0.23176544771603547,-0.21149226754528846,-0.1883418458071788,-0.16470777605271572,-0.1627681093085321,-0.04112413279219451,-0.16057467642423187,-0.2358317776049721,-0.22514784252568001,-0.23914283734889774,-0.21452080993594036,0
6288,0.24785475958338746,1,-0.2592064967230306,0,0,0,0,0,0,0,0,0,0,0,0,0.7520173866304954,0.5589745124737805,0.32695900286487717,-0.16592253839556903,-0.14157018718957937,-0.09507432040438253,-0.1275397774774259,-0.13927167542015018,-0.24487796461800804,0.324009261968992,0.07256992288317105,-0.010796122125446825,0
7573,-0.9814668022040508,0,0.17588623801978148,1,0,0,0,0,0,1,2,0,0,0,0,-0.5332170121512796,-0.5293672112294936,-0.4878983114412083,-0.4444976868750691,-0.37748024309095235,-0.3321296026889414,-0.33528227361336066,-0.16057467642423187,-0.19030903005550084,-0.11466653156225488,-0.1805692602032087,-0.18559907685665394,0
25042,0.09418956435995768,0,3.00398901384806,1,0,0,0,0,0,0,0,0,0,0,0,-0.04182565677389346,0.00013664246807925453,0.044635436228770003,0.11631354374360768,0.193274731754095,0.23726373805599463,-0.21116014666354793,-0.1526257954525596,-0.1992968545716785,-0.1771559608402103,-0.1853268186844514,-0.18559907685665394,0
19444,0.8625155404771065,1,0.3934326053911875,0,0,0,0,0,0,0,0,0,0,0,0,0.6411129447144318,0.5792597305309269,0.5754372260235715,0.6961804034113708,0.7994528883960911,0.858566376522026,-0.09655385120006489,-0.0691625452500007,-0.06465457431958853,-0.12091547449005043,-0.1496760233120225,-0.15089299716151022,0
20562,0.09418956435995768,0,-0.8030724151515457,1,0,0,0,1,0,1,2,2,2,2,2,-0.29500783032512984,-0.2642672536787463,-0.26887780514281223,-0.6629177502201381,-0.6546312174702789,-0.6518671660418162,-0.21633438003423971,-0.2026242567643782,-0.30703402377209377,-0.27139002019136704,-0.30414220776795353,-0.2665799294786559,0
8173,2.5528326879348344,0,0.8285253401339996,0,0,0,0,1,0,0,0,0,0,0,0,6.2261349268629385,6.587548126504781,-0.6775188328084787,-0.6168431791613868,-0.6719343999198001,-0.5346520764732349,1.0118026211701843,-0.24006348614095463,-0.08017899848389538,-0.3021348193961211,0.15388092238077314,-0.3012860091737996,1
11605,0.47835255241853214,1,-0.9118455988372487,1,0,0,0,1,0,0,0,0,0,0,0,-0.0474799854546778,-0.03773478003917035,-0.2152448429415048,-0.1864487989147819,-0.2079490624439086,-0.18339633920226597,-0.21633438003423971,-0.14070247399505117,-0.23699902754213803,-0.1771559608402103,0.8080143203147498,-0.012068678380935427,0
